customer_key,customer_name,Recency,Frequency,Monetary,Recency_Score,Frequency_Score,Monetary_Score,Customer_Segment
7059,Riley Patterson,4598,1,40,3,2,4,Loyal Customers
7098,Sydney Stewart,4763,1,40,5,2,4,At Risk
7106,Destiny Brooks,4759,1,40,5,2,4,At Risk
7171,Adam Perez,4777,1,40,5,2,4,At Risk
7224,Noah Clark,4788,1,40,5,2,4,At Risk
7236,Vincent Guo,4601,1,40,3,2,4,Loyal Customers
7324,Jeremy Clark,4644,1,40,3,2,4,Loyal Customers
7341,Arianna Cooper,4532,1,40,2,2,4,Loyal Customers
7343,Victoria James,4698,1,40,4,2,4,At Risk
7344,Dalton Green,4616,1,40,3,2,4,Loyal Customers
7348,Alyssa Clark,4645,1,40,3,2,4,Loyal Customers
7350,Jacob Robinson,4760,1,40,5,2,4,At Risk
7359,Oscar Coleman,4744,1,40,5,2,4,At Risk
7366,Daniel Lewis,4690,1,40,4,2,4,At Risk
7418,Jonathan Roberts,4629,1,40,3,2,4,Loyal Customers
7420,Rachel Johnson,4463,1,40,1,2,4,Loyal Customers
7475,James Smith,4569,1,40,2,2,4,Loyal Customers
7501,Jose Brown,4499,1,40,1,2,4,Loyal Customers
7530,Albert Castro,4451,1,40,1,2,4,Loyal Customers
7575,Kaitlyn Taylor,4756,1,40,5,2,4,At Risk
7641,Isaac James,4777,1,40,5,2,4,At Risk
7663,Kyle Sharma,4531,1,40,2,2,4,Loyal Customers
7752,Kari Schmidt,4798,1,40,5,2,4,At Risk
7779,Miguel Washington,4579,1,40,2,2,4,Loyal Customers
8078,Pedro Prasad,4679,1,40,4,2,4,At Risk
8083,Alvin Zhang,4659,1,40,4,2,4,At Risk
8181,Joan Navarro,4566,1,40,2,2,4,Loyal Customers
8183,Lance Dominguez,4764,1,40,5,2,4,At Risk
8269,Alyssa Ward,4464,1,40,1,2,4,Loyal Customers
8274,Natalie Henderson,4634,1,40,3,2,4,Loyal Customers
8278,Billy Jim?®nez,4803,1,40,5,2,4,At Risk
8304,Sylvia Spencer,4468,1,40,1,2,4,Loyal Customers
8927,Alexandria Diaz,4748,1,40,5,2,4,At Risk
9071,Richard Morris,4641,1,40,3,2,4,Loyal Customers
9084,Terry Kumar,4536,1,40,2,2,4,Loyal Customers
9101,Jesse Watson,4491,1,40,1,2,4,Loyal Customers
9103,Arianna Jenkins,4587,1,40,3,2,4,Loyal Customers
9274,Katherine Martin,4573,1,40,2,2,4,Loyal Customers
9317,Suzanne Zhang,4787,1,40,5,2,4,At Risk
9442,Abigail Henderson,4607,1,40,3,2,4,Loyal Customers
9692,Eduardo Smith,4762,1,40,5,2,4,At Risk
9784,Amanda Collins,4517,1,40,1,2,4,Loyal Customers
9793,Hailey Rivera,4572,1,40,2,2,4,Loyal Customers
9929,Raymond Kapoor,4543,1,40,2,2,4,Loyal Customers
10010,Clinton Sandberg,4505,1,40,1,2,4,Loyal Customers
10044,Johnathan McDonald,4602,1,40,3,2,4,Loyal Customers
10086,Leslie Vazquez,4470,1,40,1,2,4,Loyal Customers
10110,Katie Pal,4529,1,40,2,2,4,Loyal Customers
10132,Gilbert Nath,4667,1,40,4,2,4,At Risk
10178,Kara Nath,4626,1,40,3,2,4,Loyal Customers
10179,Jillian Saunders,4620,1,40,3,2,4,Loyal Customers
10186,Gilbert Jai,4479,1,40,1,2,4,Loyal Customers
10209,Olivia Griffin,4726,1,40,4,2,4,At Risk
10210,Randall Moreno,4594,1,40,3,2,4,Loyal Customers
10211,Colin Luo,4761,1,40,5,2,4,At Risk
10233,Levi Garcia,4491,1,40,1,2,4,Loyal Customers
10277,Ian Coleman,4559,1,40,2,2,4,Loyal Customers
10340,Haley Barnes,4810,1,40,5,2,4,At Risk
10367,Kelvin Andersen,4812,1,40,5,2,4,At Risk
10371,Emmanuel Martinez,4647,1,40,3,2,4,Loyal Customers
10376,Carl Sharma,4783,1,40,5,2,4,At Risk
10481,Alfredo Martin,4484,1,40,1,2,4,Loyal Customers
10534,Gilbert Tang,4659,1,40,4,2,4,At Risk
10564,Carla Mehta,4784,1,40,5,2,4,At Risk
10578,Tiffany Ma,4507,1,40,1,2,4,Loyal Customers
10664,Kenneth Goel,4613,1,40,3,2,4,Loyal Customers
10692,Brandon Martin,4724,1,40,4,2,4,At Risk
10804,Emily Thomas,4545,1,40,2,2,4,Loyal Customers
10833,Pedro Gill,4464,1,40,1,2,4,Loyal Customers
10845,James Long,4635,1,40,3,2,4,Loyal Customers
10847,Kevin Patterson,4770,1,40,5,2,4,At Risk
10850,Todd Chow,4763,1,40,5,2,4,At Risk
10862,Kari Romero,4813,1,40,5,2,4,At Risk
10864,Shawna Anand,4746,1,40,5,2,4,At Risk
10881,Marc Gomez,4601,1,40,3,2,4,Loyal Customers
10888,Ashley White,4809,1,40,5,2,4,At Risk
10891,Tiffany Zeng,4636,1,40,3,2,4,Loyal Customers
10915,Emily Brown,4734,1,40,4,2,4,At Risk
10917,Jesse Evans,4618,1,40,3,2,4,Loyal Customers
10961,Dawn Liu,4588,1,40,3,2,4,Loyal Customers
10964,Jacquelyn Serrano,4719,1,40,4,2,4,At Risk
10973,Mandy She,4696,1,40,4,2,4,At Risk
10998,Dennis Xu,4537,1,40,2,2,4,Loyal Customers
11027,Bridget Kennedy,4603,1,40,3,2,4,Loyal Customers
11144,Summer Prasad,4798,1,40,5,2,4,At Risk
11213,Kara Xu,4721,1,40,4,2,4,At Risk
11316,Darren Raman,4548,1,40,2,2,4,Loyal Customers
11327,Riley Howard,4534,1,40,2,2,4,Loyal Customers
11333,Brittany Bennett,4677,1,40,4,2,4,At Risk
11354,Amanda Allen,4643,1,40,3,2,4,Loyal Customers
11355,Sara King,4657,1,40,4,2,4,At Risk
11372,Blake Powell,4635,1,40,3,2,4,Loyal Customers
11385,Paige Sanchez,4668,1,40,4,2,4,At Risk
11390,Edwin Luo,4467,1,40,1,2,4,Loyal Customers
11454,Dakota Long,4524,1,40,2,2,4,Loyal Customers
11483,Cassidy Jenkins,4471,1,40,1,2,4,Loyal Customers
11529,Jaime Blanco,4624,1,40,3,2,4,Loyal Customers
11658,Clinton Suarez,4593,1,40,3,2,4,Loyal Customers
11671,Erika Sanz,4771,1,40,5,2,4,At Risk
11747,Erica Zhang,4646,1,40,3,2,4,Loyal Customers
11832,Victor Ruiz,4723,1,40,4,2,4,At Risk
11845,Marie Arun,4754,1,40,5,2,4,At Risk
11849,Peter Pal,4808,1,40,5,2,4,At Risk
11853,Billy Alonso,4520,1,40,1,2,4,Loyal Customers
11854,Tasha Pal,4697,1,40,4,2,4,At Risk
11870,Rafael Lu,4582,1,40,2,2,4,Loyal Customers
11912,Gregory Raje,4606,1,40,3,2,4,Loyal Customers
11949,Lucas Turner,4723,1,40,4,2,4,At Risk
11953,Luke Baker,4790,1,40,5,2,4,At Risk
11958,Nicole Davis,4621,1,40,3,2,4,Loyal Customers
11963,Casey Martin,4694,1,40,4,2,4,At Risk
11970,Taylor Martin,4471,1,40,1,2,4,Loyal Customers
12085,Christian Shan,4674,1,40,4,2,4,At Risk
12088,Clifford Martinez,4604,1,40,3,2,4,Loyal Customers
12124,Zoe Kelly,4537,1,40,2,2,4,Loyal Customers
12129,Dylan Jai,4666,1,40,4,2,4,At Risk
12135,Alyssa Robinson,4531,1,40,2,2,4,Loyal Customers
12197,Carlos Roberts,4687,1,40,4,2,4,At Risk
12220,Alyssa West,4730,1,40,4,2,4,At Risk
12236,Cedric Pal,4809,1,40,5,2,4,At Risk
12245,Alexandra Wagner,4711,1,40,4,2,4,At Risk
12246,Morgan James,4671,1,40,4,2,4,At Risk
12254,Brooke Bell,4654,1,40,3,2,4,Loyal Customers
12256,Xavier Johnson,4791,1,40,5,2,4,At Risk
12285,Wyatt Coleman,4640,1,40,3,2,4,Loyal Customers
12318,Beth Martin,4581,1,40,2,2,4,Loyal Customers
12330,Sharon Raji,4609,1,40,3,2,4,Loyal Customers
12402,Evan Brooks,4589,1,40,3,2,4,Loyal Customers
12420,Shawna Xu,4542,1,40,2,2,4,Loyal Customers
12427,Mathew Ferrier,4558,1,40,2,2,4,Loyal Customers
12429,Savannah Bailey,4630,1,40,3,2,4,Loyal Customers
12460,Mason Sanders,4581,1,40,2,2,4,Loyal Customers
12531,Ivan Prasad,4474,1,40,1,2,4,Loyal Customers
12537,Savannah Adams,4682,1,40,4,2,4,At Risk
12552,Mason Scott,4582,1,40,2,2,4,Loyal Customers
12568,Xavier Green,4680,1,40,4,2,4,At Risk
12570,Vanessa Price,4644,1,40,3,2,4,Loyal Customers
12577,Ann Sara,4703,1,40,4,2,4,At Risk
12645,Allison Young,4566,1,40,2,2,4,Loyal Customers
12651,Carolyn Vazquez,4697,1,40,4,2,4,At Risk
12680,Jacob Harris,4807,1,40,5,2,4,At Risk
12720,Marcus James,4466,1,40,1,2,4,Loyal Customers
12744,Terrence Xu,4789,1,40,5,2,4,At Risk
12944,Cindy Subram,4512,1,40,1,2,4,Loyal Customers
12969,Caleb Baker,4581,1,40,2,2,4,Loyal Customers
12979,Philip Ortega,4474,1,40,1,2,4,Loyal Customers
12986,Janet Torres,4606,1,40,3,2,4,Loyal Customers
12998,Kristopher Srini,4737,1,40,4,2,4,At Risk
13080,Andre Raman,4703,1,40,4,2,4,At Risk
13083,Regina Rodriguez,4598,1,40,3,2,4,Loyal Customers
13086,Autumn Gao,4776,1,40,5,2,4,At Risk
13095,Julio Diaz,4815,1,40,5,2,4,At Risk
13107,Kelvin Shan,4594,1,40,3,2,4,Loyal Customers
13114,Stephanie Green,4770,1,40,5,2,4,At Risk
13145,Gerald Sanchez,4557,1,40,2,2,4,Loyal Customers
13197,Armando Gill,4645,1,40,3,2,4,Loyal Customers
13257,Kayla Barnes,4760,1,40,5,2,4,At Risk
13471,Clarence Lal,4723,1,40,4,2,4,At Risk
13582,Reginald Diaz,4543,1,40,2,2,4,Loyal Customers
13595,Franklin Yuan,4786,1,40,5,2,4,At Risk
13604,Jake Zhu,4555,1,40,2,2,4,Loyal Customers
13611,Troy Kapoor,4591,1,40,3,2,4,Loyal Customers
13640,Ian Moore,4509,1,40,1,2,4,Loyal Customers
13648,Jose Simmons,4539,1,40,2,2,4,Loyal Customers
13731,Anthony Moore,4707,1,40,4,2,4,At Risk
13749,Jose Collins,4790,1,40,5,2,4,At Risk
13756,Sean Scott,4622,1,40,3,2,4,Loyal Customers
13854,Miguel Long,4615,1,40,3,2,4,Loyal Customers
13859,Calvin Xie,4742,1,40,5,2,4,At Risk
13860,Cesar Arun,4454,1,40,1,2,4,Loyal Customers
13870,Misty Shock,4578,1,40,2,2,4,Loyal Customers
13881,Summer Chandra,4492,1,40,1,2,4,Loyal Customers
13891,Brenda Van,4806,1,40,5,2,4,At Risk
13948,Aaron Phillips,4691,1,40,4,2,4,At Risk
14111,Tabitha Suarez,4637,1,40,3,2,4,Loyal Customers
14117,Phillip Sara,4694,1,40,4,2,4,At Risk
14123,Susan Zhao,4513,1,40,1,2,4,Loyal Customers
14124,Sharon Simpson,4590,1,40,3,2,4,Loyal Customers
14135,Brett Rodriguez,4497,1,40,1,2,4,Loyal Customers
14137,Ruben Diaz,4749,1,40,5,2,4,At Risk
14144,Destiny Henderson,4505,1,40,1,2,4,Loyal Customers
14148,Samantha Brown,4632,1,40,3,2,4,Loyal Customers
14218,Byron Martin,4729,1,40,4,2,4,At Risk
14220,Karla Lal,4748,1,40,5,2,4,At Risk
14228,Jaime Gutierrez,4563,1,40,2,2,4,Loyal Customers
14237,Lance Martin,4578,1,40,2,2,4,Loyal Customers
14249,Denise Madan,4519,1,40,1,2,4,Loyal Customers
14252,Toni Rodriguez,4507,1,40,1,2,4,Loyal Customers
14296,Chad Raje,4465,1,40,1,2,4,Loyal Customers
14325,Bethany Andersen,4788,1,40,5,2,4,At Risk
14333,Jackson Bryant,4694,1,40,4,2,4,At Risk
14417,Jack Coleman,4644,1,40,3,2,4,Loyal Customers
14470,Martha Wu,4734,1,40,4,2,4,At Risk
14472,Spencer Ross,4522,1,40,1,2,4,Loyal Customers
14476,Destiny Martin,4500,1,40,1,2,4,Loyal Customers
14495,Lee Jimenez,4647,1,40,3,2,4,Loyal Customers
14496,Sheena Kennedy,4675,1,40,4,2,4,At Risk
14516,Tara Deng,4531,1,40,2,2,4,Loyal Customers
14518,Christina Cook,4561,1,40,2,2,4,Loyal Customers
14519,Oscar Lu,4605,1,40,3,2,4,Loyal Customers
14520,Margaret Sun,4536,1,40,2,2,4,Loyal Customers
14536,Brandi Navarro,4599,1,40,3,2,4,Loyal Customers
14580,Bobby Prasad,4758,1,40,5,2,4,At Risk
14581,Amber Allen,4673,1,40,4,2,4,At Risk
14621,Alejandro Lu,4744,1,40,5,2,4,At Risk
14631,Mandy Zeng,4752,1,40,5,2,4,At Risk
14639,Dale Tang,4755,1,40,5,2,4,At Risk
14644,Sergio Arun,4695,1,40,4,2,4,At Risk
14653,Rachael Sara,4599,1,40,3,2,4,Loyal Customers
14655,Carla Malhotra,4462,1,40,1,2,4,Loyal Customers
14667,Micheal Munoz,4690,1,40,4,2,4,At Risk
14680,Meredith Rodriguez,4595,1,40,3,2,4,Loyal Customers
14782,Alejandro Xie,4637,1,40,3,2,4,Loyal Customers
14801,Sheena Nath,4711,1,40,4,2,4,At Risk
14816,Jacquelyn Romero,4799,1,40,5,2,4,At Risk
14825,Terry Pal,4569,1,40,2,2,4,Loyal Customers
14856,Dylan Diaz,4788,1,40,5,2,4,At Risk
14874,Isaiah Sanders,4537,1,40,2,2,4,Loyal Customers
14885,Elijah Evans,4683,1,40,4,2,4,At Risk
14989,Victor Mu??oz,4610,1,40,3,2,4,Loyal Customers
15010,Luis Foster,4482,1,40,1,2,4,Loyal Customers
15100,Christina Bell,4708,1,40,4,2,4,At Risk
15106,Morgan Gonzales,4681,1,40,4,2,4,At Risk
15133,Shelby Ward,4813,1,40,5,2,4,At Risk
15137,Tabitha Gonzalez,4622,1,40,3,2,4,Loyal Customers
15378,Isabelle Foster,4509,1,40,1,2,4,Loyal Customers
15398,Micheal Travers,4532,1,40,2,2,4,Loyal Customers
15457,Xavier Peterson,4520,1,40,1,2,4,Loyal Customers
15687,Christian Washington,4551,1,40,2,2,4,Loyal Customers
15702,Katherine Hill,4752,1,40,5,2,4,At Risk
15892,Arturo Zhang,4612,1,40,3,2,4,Loyal Customers
16145,Franklin Shen,4592,1,40,3,2,4,Loyal Customers
16209,David Chen,4485,1,40,1,2,4,Loyal Customers
16330,Gloria Vazquez,4678,1,40,4,2,4,At Risk
16336,Ricardo Raji,4492,1,40,1,2,4,Loyal Customers
